Sample Date,PFBA (ppt),PFPeA (ppt),PFBS (ppt) ,PFHxA (ppt),PFHpA (ppt),PFHxS (ppt),PFOA (ppt) ,PFNA (ppt) ,PFOS (ppt) ,6:2 FTS (ppt),Sum of PFOS and  PFOA (ppt),Sum of All PFAS  (ppt)
04/19/23 ,Not measured,Not measured,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not measured ,0 ,0
04/05/23 ,Not detected ,2.9,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,2.9
03/21/23 ,Not detected ,3.2,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,3.2
03/07/23 ,Not detected ,5.1,Not detected ,2.6 ,2.5,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,10.2
02/01/23 ,5.2 ,6.1,Not detected ,3.8 ,4.7,Not detected,Not detected,Not detected,Not detected ,2.2 ,0 ,22
01/18/23 ,Not measured,Not measured,Not detected ,4.1 ,5,Not detected,Not detected,Not detected,Not detected,Not measured ,0 ,20.9
01/03/23 ,4.8 ,6.9,Not detected ,4.3 ,4.9,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,20.9
12/19/22 ,5.2 ,8.3,Not detected ,4.8 ,5,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,23.3
12/05/22 ,5.4 ,8.5,Not detected ,5 ,5.1,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,24
11/16/22 ,Not detected ,7.8,Not detected ,4.2 ,3.9,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,15.9
11/02/22 ,5.5 ,8.4,Not detected ,5.2 ,5,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,23.5
10/18/22 ,6.2 ,9.5,Not detected ,6 ,6,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,27.7
10/04/22 ,5.1 ,8.4,Not detected ,5.2 ,4.8,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,24.1
09/21/22 ,5.9 ,9.9,Not detected ,6.1 ,5.7,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,27.6
09/06/22 ,6.2 ,8.7,Not detected ,5.7 ,5.1,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,25.7
08/17/22 ,5.4 ,8.1,Not detected ,5 ,4.1,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,22.6
08/01/22 ,5.1 ,5.5,Not detected ,3.9 ,3.4,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,17.9
07/04/22 ,Not detected ,5.3,Not detected ,3.9 ,3.3,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,12.5
06/24/22 ,5.3 ,5.6,Not detected ,3.9 ,3.1,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,17.9
06/06/22 ,5.2 ,4.7,Not detected ,3.6 ,2.8,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,16.3
05/02/22 ,4.9 ,3.1,Not detected ,2.2,Not detected,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,10.2
04/05/22 ,6.0 ,3.3,Not detected ,2.4 ,2.2,Not detected,Not detected,Not detected,Not detected ,2.0 ,0 ,15.9
03/23/22 ,5.9 ,2.8,Not detected ,2.2 ,2,Not detected,Not detected,Not detected,Not detected ,3.4 ,0 ,16.3
03/08/22 ,5.9 ,4.1,Not detected ,3.1 ,2.9,Not detected,Not detected,Not detected,Not detected ,7.9 ,0 ,23.9
02/23/22 ,5.2 ,4.3,Not detected ,3.3 ,3.2,Not detected,Not detected,Not detected,Not detected ,9.9 ,0 ,25.9
02/07/22 ,4.9 ,4.6,Not detected ,3.6 ,3.4,Not detected,Not detected,Not detected,Not detected ,7.5 ,0 ,24
01/18/22 ,Not measured,Not measured,Not detected ,3.7 ,3.5,Not detected,Not detected,Not detected,Not detected,Not measured ,0 ,7.2
01/06/22 ,Not detected ,4.6,Not detected ,3.3 ,3.1,Not detected,Not detected,Not detected,Not detected ,3.0 ,0 ,14
12/22/21 ,Not detected ,5.4,Not detected ,3.8 ,3.6,Not detected,Not detected,Not detected,Not detected ,3.3 ,0 ,16.1
12/07/21 ,5.7 ,5.6,Not detected ,3.9 ,3.7,Not detected,Not detected,Not detected,Not detected ,2.2 ,0 ,21.1
11/17/21 ,5.3 ,7.2,Not detected ,4.9 ,4.5,Not detected,Not detected,Not detected,Not detected ,2.2 ,0 ,24.1
11/02/21 ,6.7 ,8.6,Not detected ,5.6 ,4.7,Not detected,Not detected,Not detected,Not detected ,2.3 ,0 ,27.9
10/20/21 ,Not measured,Not measured,Not detected ,6.4 ,5.2,Not detected,Not detected,Not detected,Not detected,Not measured ,0 ,11.6
10/05/21 ,7.7 ,12 ,2.0 ,7.8 ,5.6,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,35.1
09/23/21 ,5.9 ,14 ,2.1 ,7.9 ,5.9,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,35.8
09/09/21 ,6.3 ,13 ,2.2 ,8.3 ,6.2,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,36
08/17/21 ,8.4 ,14 ,2.1 ,10 ,6.6,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,41.1
08/03/21 ,8.9 ,15 ,2.2 ,11 ,7.3,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,44.4
07/22/21 ,Not measured,Not measured,Not detected ,8.7 ,5.7,Not detected,Not detected,Not detected,Not detected,Not measured ,0 ,14.4
07/06/21 ,6.7 ,11,Not detected ,8.0 ,5,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,30.7
06/22/21 ,Not detected ,12,Not detected ,8.3 ,5.2,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,25.5
06/10/21 ,Not detected ,11,Not detected ,7.7 ,4.9,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,23.6
05/25/21 ,Not detected ,9,Not detected ,6.2 ,4,Not detected,Not detected,Not detected,Not detected,Not detected ,0 ,19.2
